Адресс	Код	СК	РА	РК	РД	А	С	Адрес	Новый код	
"016"	"C01A"	"001A"	"0016"	"C01A"	"C01A"	"0000"	"0"	
"01A"	"F200"	"001B"	"001A"	"F200"	"F200"	"0000"	"0"	
"01B"	"4017"	"001C"	"0017"	"4017"	"ACAB"	"ACAB"	"0"	
"01C"	"4018"	"001D"	"0018"	"4018"	"00F1"	"AD9C"	"0"	
"01D"	"A020"	"0020"	"001D"	"A020"	"A020"	"AD9C"	"0"	
"020"	"3022"	"0021"	"0022"	"3022"	"AD9C"	"AD9C"	"0"	"022"	"AD9C"	
"021"	"F000"	"0022"	"0021"	"F000"	"F000"	"AD9C"	"0"	
